Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1760990115,150,GET,/api/customer/owners/26,0.100000,0.100000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2,2,10556.19599999045,10554.097499989439,10551.998999988427,10556.19599999045,150.0
1760990115,150,GET,/api/customer/owners/27,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.256300005363,10554.256300005363,10554.256300005363,10554.256300005363,150.0
1760990115,150,GET,/api/customer/owners/28,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10555.119500000728,10555.119500000728,10555.119500000728,10555.119500000728,150.0
1760990115,150,GET,/api/customer/owners/31,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.178899998078,10554.178899998078,10554.178899998078,10554.178899998078,150.0
1760990115,150,GET,/api/customer/owners/39,0.100000,0.100000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2,2,10553.983099991456,10551.475749991369,10548.968399991281,10553.983099991456,150.0
1760990115,150,GET,/api/customer/owners/41,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10554.145999980392,10554.145999980392,10554.145999980392,10554.145999980392,150.0
1760990115,150,GET,/api/customer/owners/5,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10565.70720000309,10565.70720000309,10565.70720000309,10565.70720000309,149.0
1760990115,150,GET,/api/customer/owners/50,0.100000,0.100000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,2,2,10547.674600005848,10547.641099998145,10547.607599990442,10547.674600005848,150.0
1760990115,150,GET,/api/customer/owners/9,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10550.078200001735,10550.078200001735,10550.078200001735,10550.078200001735,149.0
1760990115,150,GET,/api/vet/vets,2.100000,0.000000,9,10,11,11,12,13,14,14,14,14,14,41,0,9,9.376014634631801,4.250400001183152,25.177699979394674,653.0
1760990115,150,,Aggregated,2.900000,0.800000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,78,37,14,5011.708894871751,4.250400001183152,10568.39190001483,407.56410256410254
1760990116,160,GET,/api/customer/owners,1.000000,1.000000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,21,21,10568.39190001483,10555.622123812404,10547.253900003852,10568.39190001483,147.0
1760990116,160,POST,/api/customer/owners,0.200000,0.200000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,8,8,10566.768499993486,10556.875500002207,10547.462599992286,10566.768499993486,54.0
1760990116,160,GET,/api/customer/owners/21,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,1,10557.917900005123,10557.917900005123,10557.917900005123,10557.917900005123,150.0
