Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners/43,312,311,2,239.93368974315206,1.4531000051647425,10653.81950000301,149.90064102564102,1.0608737943846178,1.0574735578641543,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/44,330,329,2,248.8076303023704,1.416699989931658,10572.238799999468,149.9060606060606,1.1220780517529612,1.1186778152324977,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/45,284,280,2,206.63222887317164,1.5027999761514366,10562.239299993962,149.56338028169014,0.9656671718116392,0.9520662257297852,2,3,3,3,4,4,7600,11000,11000,11000,11000
GET,/api/customer/owners/46,268,267,2,389.33658395464266,1.4276999863795936,10663.283700007014,149.88432835820896,0.911263387484223,0.9078631509637594,2,3,3,3,3,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/47,290,290,2,185.20889655056666,1.48460001219064,10589.322900021216,150.0,0.9860685909344203,0.9860685909344203,2,3,3,3,4,5,86,11000,11000,11000,11000
GET,/api/customer/owners/48,280,277,2,249.36563571630228,1.4472999901045114,10569.873200001894,149.66785714285714,0.9520662257297852,0.9418655161683946,2,3,3,3,4,6,8400,11000,11000,11000,11000
GET,/api/customer/owners/49,313,311,2,229.56868753957818,1.4504000137094408,10682.346599991433,149.80191693290735,1.0642740309050813,1.0574735578641543,2,3,3,3,3,5,7500,11000,11000,11000,11000
GET,/api/customer/owners/5,288,287,2,285.57539166670017,1.4565000019501895,10573.469700000715,149.21527777777777,0.9792681178934933,0.9758678813730298,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/50,272,271,2,390.70677279393266,1.4538999821525067,10573.653600004036,149.8860294117647,0.924864333566077,0.9214640970456135,2,3,3,3,4,6,11000,11000,11000,11000,11000
GET,/api/customer/owners/6,285,285,2,262.54859298300164,1.447199989343062,10572.495700005675,149.0,0.9690674083321027,0.9690674083321027,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/7,286,284,2,213.02583391590522,1.4502000121865422,10574.565200018696,149.37062937062936,0.9724676448525663,0.9656671718116392,2,3,3,3,3,4,7400,11000,11000,11000,11000
GET,/api/customer/owners/8,282,279,2,207.23594964557435,1.4759000041522086,10564.492000004975,149.63829787234042,0.9588666987707122,0.9486659892093217,2,2,3,3,3,4,7100,11000,11000,11000,11000
GET,/api/customer/owners/9,278,277,2,306.9361978417376,1.4349000121001154,10573.677900014445,149.24100719424462,0.9452657526888582,0.9418655161683946,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/vet/vets,9402,9120,2,2.9370161136559796,1.3939000200480223,249.1821000003256,155.38672622846204,31.969023765398,31.010157066627286,2,3,3,3,3,4,6,10,140,250,250
,Aggregated,47381,46976,2,190.57470718225304,1.3165000127628446,10683.424399991054,663.8487157299339,161.10660657608196,159.72951078529425,2,3,3,3,3,5,95,11000,11000,11000,11000
