Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/customer/owners/3,273,271,2,258.15901025690926,1.466100016841665,10596.12410000409,150.04029304029305,0.45668218168988683,0.4533365246811697,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/30,269,268,2,100.91335538977698,1.487100002123043,10569.449800008442,149.88475836431226,0.4499908676724526,0.44831803916809404,2,3,3,3,3,4,5,5300,11000,11000,11000
GET,/api/customer/owners/31,311,311,2,240.34755691368255,1.5608000103384256,10585.465100011788,150.0,0.520249664855512,0.520249664855512,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/32,298,297,2,265.3654459742798,1.5085000195540488,10583.075400005328,149.89597315436242,0.4985028942988508,0.4968300657944923,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/33,279,276,2,305.21217956959595,1.5254000027198344,10565.170299989404,149.66666666666666,0.4667191527160382,0.4617006672029625,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/34,319,315,2,2.6840087784334528,1.4570000057574362,20.040799980051816,149.61128526645768,0.5336322928903806,0.5269409788729463,2,3,3,3,3,4,6,7,20,20,20
GET,/api/customer/owners/35,279,276,3,342.18968852958477,1.5953000111039728,10570.416700007627,149.66666666666666,0.4667191527160382,0.4617006672029625,3,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/36,284,283,2,344.1470778171337,1.526899985037744,10591.772999992827,149.89084507042253,0.475083295237831,0.4734104667334724,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/37,319,317,2,353.292056113656,1.5087000210769475,10578.587399999378,149.80564263322884,0.5336322928903806,0.5302866358816635,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/38,307,304,2,278.1987781753022,1.5331000031437725,10593.30440001213,149.6970684039088,0.5135583508380779,0.5085398653250022,2,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/39,284,281,2,420.98717535267957,1.5180999762378633,10572.720099997241,149.67253521126761,0.475083295237831,0.4700648097247553,2,3,3,3,3,7,11000,11000,11000,11000,11000
GET,/api/customer/owners/4,273,269,2,196.07346153847067,1.427400013199076,10581.546800007345,149.86446886446888,0.45668218168988683,0.4499908676724526,2,3,3,3,3,5,31,11000,11000,11000,11000
GET,/api/customer/owners/40,288,283,3,259.2220479160056,1.4739999896846712,10561.498399998527,149.46180555555554,0.4817746092552652,0.4734104667334724,3,3,3,3,4,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/41,301,299,2,142.98617940158599,1.5029999776743352,10580.836900015129,149.7940199335548,0.5035213798119265,0.5001757228032094,2,3,3,3,3,4,6,11000,11000,11000,11000
GET,/api/customer/owners/42,317,315,2,219.64338012651118,1.356399996438995,10596.092799998587,149.8044164037855,0.5302866358816635,0.5269409788729463,2,3,3,3,3,4,5300,11000,11000,11000,11000
GET,/api/customer/owners/43,282,280,2,307.0641985819064,1.4913000050000846,10583.83300001151,149.78014184397162,0.47173763822911385,0.46839198122039677,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/44,300,295,2,119.57773799969193,1.5292000025510788,10559.976299991831,149.48333333333332,0.501848551307568,0.49348440878577515,2,3,3,3,3,4,8,7400,11000,11000,11000
GET,/api/customer/owners/45,269,262,2,166.93445167233335,1.510800007963553,10572.890199982794,149.19330855018586,0.4499908676724526,0.4382810681419427,2,3,3,3,3,5,110,11000,11000,11000,11000
GET,/api/customer/owners/46,305,301,3,221.76347180311643,1.5183000068645924,10570.653499977197,149.59344262295082,0.5102126938293607,0.5035213798119265,3,3,3,3,4,5,4100,11000,11000,11000,11000
GET,/api/customer/owners/47,282,280,2,180.4661134760315,1.4584999880753458,10591.476400004467,149.78014184397162,0.47173763822911385,0.46839198122039677,2,3,3,3,3,4,1800,11000,11000,11000,11000
GET,/api/customer/owners/48,278,275,2,217.86923165441064,1.4755000011064112,10579.030499997316,149.66546762589928,0.46504632421167963,0.460027838698604,2,3,3,3,3,4,7100,11000,11000,11000,11000
GET,/api/customer/owners/49,294,290,2,358.0749540818027,1.4115000085439533,10596.09529998852,149.57823129251702,0.4918115802814166,0.48512026626398236,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/5,293,290,2,228.31921638182283,1.5473999956157058,10571.515899995575,149.63481228668942,0.490138751777058,0.48512026626398236,2,3,3,3,3,4,7000,11000,11000,11000,11000
GET,/api/customer/owners/50,294,290,2,186.18451020485153,1.5780999965500087,10581.84369999799,149.57823129251702,0.4918115802814166,0.48512026626398236,2,3,3,3,3,4,4800,11000,11000,11000,11000
GET,/api/customer/owners/6,270,268,2,289.62066555481954,1.5544999914709479,10570.673000009265,149.9925925925926,0.4516636961768112,0.44831803916809404,2,3,3,3,3,4,11000,11000,11000,11000,11000
GET,/api/customer/owners/7,290,287,2,278.0685775873155,1.4621000154875219,10579.32410002104,149.54827586206898,0.48512026626398236,0.48010178075090665,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/8,265,264,2,281.70312490667885,1.564900012454018,10582.980599981965,149.22641509433961,0.44329955365501833,0.4416267251506598,2,3,3,3,3,5,11000,11000,11000,11000,11000
GET,/api/customer/owners/9,295,292,2,204.7940793225218,1.4719000027980655,10564.862500003073,149.6813559322034,0.49348440878577515,0.48846592327269944,2,3,3,3,3,4,6900,11000,11000,11000,11000
GET,/api/vet/vets,9738,9414,2,2.608058677373249,1.395899977069348,28.976200002944097,157.06839186691312,16.290003975443657,15.748007540031482,2,3,3,3,3,4,5,6,9,29,29
,Aggregated,48171,47535,2,211.1337229121908,1.356399996438995,10596.526400011498,1559.7968487264122,80.58182188345619,79.51790295468415,2,3,3,3,3,4,5600,11000,11000,11000,11000
